 it |          δμ |                                δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ 
  1 | 1.31654e-01 | 7.79598e-03   1.79194e-02   4.86918e-03 | 5.25428e-03 | 8.71669e+01 | 8.50130e+01 | 2.44140e+03
  2 | 5.25768e-02 | 6.05969e-03   4.62957e-03   4.52025e-03 | 3.09013e-03 | 2.59758e+01 | 3.25147e+00 | 3.81489e+02
  3 | 7.84592e-02 | 5.68004e-03   2.54703e-02   1.07767e-02 | 2.03736e-02 | 1.32288e+01 | 1.56876e+00 | 3.39000e+02
  4 | 0.00000e+00 | 1.57719e-02   1.08588e-02   7.56522e-03 | 1.90655e-02 | 3.52854e+00 | 1.53226e+00 | 1.85862e+02
  5 | 8.81450e-03 | 5.55712e-03   1.40977e-03   9.87655e-04 | 3.15970e-03 | 8.51341e-01 | 1.22741e-01 | 8.17632e+01
  6 | 4.96810e-02 | 1.48690e-04   7.32488e-03   4.25607e-03 | 1.14323e-02 | 4.67200e-01 | 1.52124e-01 | 7.77115e+01
  7 | 2.16718e-02 | 1.70736e-03   3.47333e-03   6.04425e-03 | 7.81022e-03 | 5.33460e-01 | 8.21159e-01 | 6.34908e+01
  8 | 3.28413e-02 | 6.82492e-04   4.51507e-03   6.94398e-03 | 3.11140e-03 | 4.43936e-01 | 3.60802e-01 | 4.13920e+01
