 it |         mu |   G(beta/2) per orbital |    orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |   -0.03135 |   -0.10379     -0.09036 |    0.56672      0.53108 |           1.09779 | -142.60357 | -142.55955      0.00000      0.00000      0.17893
  1 |   -0.03135 |   -0.09163     -0.08189 |    0.55785      0.51860 |           1.07646 | -140.88637 | -142.55955      0.52939      0.65978      0.13717
  2 |    0.13833 |   -0.09351     -0.09211 |    0.58948      0.54875 |           1.13823 | -140.88509 | -142.55955      0.58387      0.71730      0.26222
  3 |    0.11557 |   -0.09244     -0.09283 |    0.61727      0.58872 |           1.20598 | -140.87495 | -142.55955      0.67336      0.78489      0.41402
  4 |    0.08669 |   -0.08875     -0.09082 |    0.65257      0.62106 |           1.27363 | -140.86443 | -142.55955      0.77935      0.85997      0.58083
  5 |    0.08998 |   -0.08778     -0.08809 |    0.65763      0.63144 |           1.28907 | -140.90543 | -142.62226      0.81685      0.90024      0.62106
  6 |    0.08583 |   -0.08506     -0.08591 |    0.66184      0.63474 |           1.29658 | -140.89783 | -142.62226      0.81865      0.92642      0.64090
  7 |    0.10446 |   -0.08439     -0.08414 |    0.67332      0.64463 |           1.31796 | -140.89670 | -142.62721      0.85702      0.95240      0.69842
  8 |    0.09464 |   -0.08137     -0.08245 |    0.68490      0.65715 |           1.34205 | -140.88487 | -142.62721      0.90894      0.98432      0.76507
  9 |    0.09037 |   -0.07953     -0.08088 |    0.69145      0.65880 |           1.35026 | -140.89157 | -142.64472      0.93021      1.00032      0.78823
 10 |    0.09732 |   -0.07748     -0.07845 |    0.69359      0.67791 |           1.37150 | -140.88140 | -142.64472      0.97985      1.02325      0.84918
 11 |    0.09140 |   -0.07407     -0.07573 |    0.70402      0.68193 |           1.38595 | -140.88049 | -142.65942      1.01863      1.04931      0.89152
 12 |    0.08689 |   -0.07127     -0.07257 |    0.71196      0.69168 |           1.40364 | -140.87577 | -142.65942      1.07053      1.06117      0.94428
 13 |    0.08463 |   -0.06691     -0.06984 |    0.72349      0.69631 |           1.41980 | -140.87351 | -142.67596      1.12320      1.08120      0.99338
 14 |    0.07761 |   -0.06215     -0.06398 |    0.73026      0.70749 |           1.43774 | -140.85826 | -142.67596      1.17944      1.10119      1.04894
 15 |    0.08862 |   -0.05463     -0.05831 |    0.73966      0.71828 |           1.45794 | -140.86043 | -142.70421      1.24901      1.12918      1.11275
 16 |    0.07529 |   -0.04805     -0.05266 |    0.75049      0.73020 |           1.48069 | -140.84751 | -142.70421      1.31877      1.15491      1.18627
 17 |    0.07898 |   -0.03917     -0.04492 |    0.76272      0.74589 |           1.50861 | -140.86041 | -142.73287      1.41500      1.17785      1.27881
 18 |    0.06088 |   -0.03119     -0.03513 |    0.77471      0.76267 |           1.53738 | -140.85144 | -142.73287      1.49845      1.21866      1.37694
 19 |    0.05633 |   -0.02360     -0.02716 |    0.78984      0.76943 |           1.55926 | -140.86738 | -142.76974      1.57811      1.25258      1.45340
 20 |    0.05171 |   -0.01464     -0.02051 |    0.80329      0.79143 |           1.59472 | -140.87291 | -142.76974      1.67100      1.29857      1.58068
 21 |    0.03316 |   -0.01127     -0.01524 |    0.81409      0.79914 |           1.61323 | -140.90207 | -142.80820      1.73457      1.32714      1.64880
 22 |    0.01652 |   -0.00910     -0.01104 |    0.81785      0.81096 |           1.62881 | -140.90972 | -142.80820      1.77549      1.35395      1.70703
 23 |    0.01376 |   -0.00626     -0.00857 |    0.81973      0.80829 |           1.62802 | -140.91312 | -142.82846      1.78109      1.37124      1.70404
 24 |    0.02872 |   -0.00540     -0.00717 |    0.83363      0.81606 |           1.64969 | -140.93542 | -142.82846      1.83634      1.37839      1.78631
 25 |    0.00223 |   -0.00383     -0.00789 |    0.82495      0.81589 |           1.64083 | -140.92917 | -142.84032      1.81709      1.38932      1.75251
 26 |    0.02156 |   -0.00439     -0.00664 |    0.83159      0.81581 |           1.64741 | -140.93251 | -142.84032      1.83682      1.38962      1.77756
