 written on 15Feb2022 at 12:01:57 
          14
         335
    4    2    2    2    4    2    1    1    1    2    2    1    1    1    2
    2    1    1    1    2    4    2    2    2    4    2    1    1    1    2
    2    1    1    1    2    2    1    1    1    2    2    1    1    1    2
    2    1    1    1    2    2    1    1    1    2    2    1    1    1    2
    2    1    1    1    2    2    1    1    1    2    2    1    1    1    2
    2    1    1    1    2    2    1    1    1    2    2    1    1    1    2
    2    1    1    1    2    2    1    1    1    2    2    1    1    1    2
    2    1    1    1    2    2    1    1    1    2    2    1    1    1    2
    2    1    1    1    2    2    1    1    1    2    2    1    1    1    2
    2    1    1    1    2    2    1    1    1    2    4    2    2    2    4
    2    1    1    1    2    2    1    1    1    2    2    1    1    1    2
    2    1    1    1    2    2    1    1    1    2    2    1    1    1    2
    2    1    1    1    2    4    2    2    2    4    2    1    1    1    2
    2    1    1    1    2    2    1    1    1    2    2    1    1    1    2
    2    1    1    1    2    2    1    1    1    2    2    1    1    1    2
    2    1    1    1    2    2    1    1    1    2    2    1    1    1    2
    2    1    1    1    2    2    1    1    1    2    2    1    1    1    2
    2    1    1    1    2    2    1    1    1    2    2    1    1    1    2
    2    1    1    1    2    2    1    1    1    2    2    1    1    1    2
    2    1    1    1    2    2    1    1    1    2    2    1    1    1    2
    2    1    1    1    2    2    1    1    1    2    4    2    2    2    4
    2    1    1    1    2    2    1    1    1    2    2    1    1    1    2
    4    2    2    2    4
   -4   -4   -2    1    1    0.000009    0.000000
   -4   -4   -2    2    1   -0.000002   -0.000000
   -4   -4   -2    3    1   -0.000008    0.000000
   -4   -4   -2    4    1    0.000005    0.000000
   -4   -4   -2    5    1   -0.000018   -0.000000
   -4   -4   -2    6    1    0.000004   -0.000000
   -4   -4   -2    7    1    0.000013    0.000000
   -4   -4   -2    8    1    0.000045   -0.000000
   -4   -4   -2    9    1   -0.000011    0.000000
   -4   -4   -2   10    1    0.000032    0.000000
   -4   -4   -2   11    1   -0.000021    0.000000
   -4   -4   -2   12    1   -0.000034   -0.000000
   -4   -4   -2   13    1   -0.000007   -0.000000
   -4   -4   -2   14    1   -0.000010   -0.000000
   -4   -4   -2    1    2   -0.000002    0.000000
   -4   -4   -2    2    2   -0.000003    0.000000
   -4   -4   -2    3    2    0.000005   -0.000000
   -4   -4   -2    4    2    0.000004    0.000000
   -4   -4   -2    5    2   -0.000002    0.000000
   -4   -4   -2    6    2    0.000000   -0.000000
   -4   -4   -2    7    2   -0.000002    0.000000
   -4   -4   -2    8    2   -0.000011    0.000000
   -4   -4   -2    9    2    0.000018   -0.000000
   -4   -4   -2   10    2   -0.000022    0.000000
   -4   -4   -2   11    2   -0.000006   -0.000000
   -4   -4   -2   12    2    0.000002   -0.000000
   -4   -4   -2   13    2    0.000019    0.000000
   -4   -4   -2   14    2    0.000013   -0.000000
