 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ
  0 |   12.29775 |   -0.10489     -0.10489     -0.10489 |    0.33366      0.33366      0.33366 |           1.00097
  1 |   12.29775 |   -0.04509     -0.04472     -0.04433 |    0.32678      0.33401      0.32808 |           0.98887
  2 |   12.56492 |   -0.01448     -0.01351     -0.01581 |    0.33217      0.32218      0.33020 |           0.98456
  3 |   12.65870 |   -0.00361     -0.00340     -0.00288 |    0.32290      0.34192      0.31851 |           0.98333
  4 |   12.72687 |   -0.00069     -0.00040     -0.00069 |    0.35003      0.31976      0.32305 |           0.99284
  5 |   12.75310 |    0.00001      0.00002      0.00005 |    0.33043      0.33226      0.34288 |           1.00558
  6 |   12.73028 |    0.00010      0.00004     -0.00001 |    0.34037      0.32431      0.32426 |           0.98894
  7 |   12.76950 |    0.00008      0.00005      0.00015 |    0.33370      0.32416      0.34353 |           1.00139
  8 |   12.76400 |    0.00013      0.00004      0.00001 |    0.33668      0.32583      0.31985 |           0.98236
