 it |         mu |   G(beta/2) per orbital |    orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |   -0.00370 |   -0.08980     -0.07030 |    0.54815      0.29931 |           0.84746 | -143.73963 | -143.68135      0.00000      0.00000     -0.16245
  1 |   -0.00370 |   -0.08440     -0.06384 |    0.48812      0.26668 |           0.75480 | -142.45111 | -143.68135      0.54633      0.22738     -0.23258
  2 |    0.03506 |   -0.07359     -0.05292 |    0.44160      0.22596 |           0.66756 | -142.44146 | -143.68135      0.78403      0.17833     -0.27888
  3 |   -0.05922 |   -0.05221     -0.03295 |    0.32930      0.17853 |           0.50784 | -142.50768 | -143.68135      1.02647      0.10706     -0.31409
  4 |   -0.17714 |   -0.02138     -0.01252 |    0.20593      0.12412 |           0.33005 | -142.70470 | -143.68135      1.20036      0.04976     -0.27787
  5 |   -0.29407 |   -0.00480     -0.00308 |    0.12933      0.09201 |           0.22134 | -142.89432 | -143.68135      1.30473      0.02487     -0.21658
  6 |   -0.37220 |   -0.00138     -0.00108 |    0.11065      0.07553 |           0.18618 | -142.91914 | -143.71913      1.41690      0.01874     -0.19041
  7 |   -0.40435 |   -0.00126     -0.00105 |    0.10575      0.07337 |           0.17912 | -142.93583 | -143.72220      1.42961      0.01634     -0.18477
  8 |   -0.41545 |   -0.00155     -0.00129 |    0.10433      0.07028 |           0.17461 | -142.92425 | -143.72441      1.42285      0.01613     -0.18112
  9 |   -0.40267 |   -0.00157     -0.00124 |    0.10424      0.07226 |           0.17649 | -142.92078 | -143.72568      1.43161      0.01624     -0.18265
 10 |   -0.40170 |   -0.00149     -0.00120 |    0.10625      0.07019 |           0.17644 | -142.91869 | -143.72607      1.43082      0.01641     -0.18260
