 it |         mu |   G(beta/2) per orbital |    orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |   -0.01810 |   -0.08412     -0.08602 |    0.39663      0.38776 |           0.78440 | -141.96557 | -142.30280      0.00000      0.00000     -0.28187
  1 |   -0.01810 |   -0.07562     -0.07883 |    0.33728      0.32610 |           0.66339 | -140.75490 | -142.30280      0.39680      0.21916     -0.37217
  2 |    0.22241 |   -0.06426     -0.06488 |    0.33557      0.32534 |           0.66091 | -140.73382 | -142.30280      0.43343      0.23875     -0.37351
  3 |    0.19184 |   -0.06093     -0.06037 |    0.32857      0.31621 |           0.64478 | -140.71569 | -142.30280      0.49653      0.22903     -0.38173
  4 |    0.16646 |   -0.05696     -0.05623 |    0.31159      0.29726 |           0.60885 | -140.71217 | -142.30280      0.55519      0.20648     -0.39692
  5 |    0.14666 |   -0.05186     -0.05096 |    0.29080      0.27970 |           0.57050 | -140.70421 | -142.30280      0.63747      0.18057     -0.40838
  6 |    0.12497 |   -0.04663     -0.04525 |    0.26764      0.26051 |           0.52815 | -140.69095 | -142.30662      0.71961      0.15698     -0.41535
  7 |    0.10806 |   -0.04126     -0.03984 |    0.24937      0.23238 |           0.48175 | -140.68335 | -142.30662      0.83679      0.13216     -0.41611
  8 |    0.07461 |   -0.03494     -0.03334 |    0.22122      0.20930 |           0.43052 | -140.67232 | -142.30662      0.96486      0.10567     -0.40862
  9 |    0.03043 |   -0.02610     -0.02448 |    0.17934      0.17916 |           0.35850 | -140.71568 | -142.31302      1.15236      0.07811     -0.38330
 10 |   -0.04808 |   -0.01637     -0.01495 |    0.14595      0.14267 |           0.28862 | -140.78392 | -142.31302      1.34524      0.05244     -0.34220
 11 |   -0.13837 |   -0.00760     -0.00695 |    0.11333      0.11239 |           0.22572 | -140.90941 | -142.31302      1.48679      0.03466     -0.29129
 12 |   -0.20559 |   -0.00299     -0.00270 |    0.10105      0.09782 |           0.19887 | -140.88759 | -142.32317      1.67736      0.02771     -0.26553
 13 |   -0.05364 |   -0.00093     -0.00088 |    0.11184      0.10884 |           0.22068 | -140.93575 | -142.32317      1.67663      0.03288     -0.28663
 14 |   -0.05364 |   -0.00018     -0.00018 |    0.09831      0.09686 |           0.19517 | -140.98474 | -142.32317      1.65084      0.02513     -0.26180
 15 |   -0.08779 |   -0.00004     -0.00005 |    0.08720      0.08380 |           0.17100 | -141.02307 | -142.33285      1.66342      0.01932     -0.23627
 16 |   -0.15236 |   -0.00008     -0.00004 |    0.07861      0.07876 |           0.15738 | -141.01204 | -142.33285      1.66532      0.01736     -0.22102
 17 |   -0.15236 |   -0.00005      0.00001 |    0.08557      0.08270 |           0.16827 | -141.00496 | -142.33285      1.68915      0.01893     -0.23326
 18 |   -0.15236 |    0.00001     -0.00001 |    0.08664      0.08661 |           0.17325 | -140.99517 | -142.32627      1.69257      0.02008     -0.23872
 19 |   -0.11820 |   -0.00001      0.00000 |    0.08666      0.09077 |           0.17743 | -141.01077 | -142.32627      1.69168      0.02122     -0.24324
 20 |   -0.11820 |   -0.00000     -0.00002 |    0.08504      0.08487 |           0.16991 | -141.01388 | -142.32627      1.68012      0.02071     -0.23507
 21 |   -0.11820 |   -0.00015     -0.00008 |    0.08438      0.08234 |           0.16671 | -141.01818 | -142.32697      1.67586      0.01971     -0.23153
 22 |   -0.11820 |   -0.00006     -0.00001 |    0.08640      0.08503 |           0.17143 | -141.00551 | -142.32697      1.68390      0.01962     -0.23674
 23 |   -0.11820 |   -0.00002      0.00001 |    0.08813      0.08578 |           0.17392 | -141.00063 | -142.32697      1.68226      0.01969     -0.23945
 24 |   -0.11820 |   -0.00004     -0.00002 |    0.08679      0.08626 |           0.17305 | -141.00183 | -142.32646      1.67874      0.01985     -0.23851
